Mode	X(mm)	Y(mm)	Z(mm)	Pmod	Time(s)
1	0	0	0	0	1.00E-04
0	0	0	5	1	6.00E-02
0	96.0750	99.6150	5	1	1.06E+00
0	96.0750	99.6150	0.3500	1	3.58E-02
0	95.8730	99.5130	0.3500	1	2.26E-02
0	95.0950	99.5200	0.3500	1	7.78E-02
0	95.0970	98.9640	0.3500	1	5.56E-02
0	95.1480	98.9270	0.3500	1	6.30E-03
0	95.8530	98.8890	0.3500	1	7.06E-02
0	100.0700	98.6170	0.3500	1	4.23E-01
0	100.6990	98.7090	0.3500	1	6.36E-02
0	101.1920	98.8820	0.3500	1	5.22E-02
0	101.6980	99.1790	0.3500	1	5.87E-02
0	102.0690	99.5050	0.3500	1	4.94E-02
0	102.4400	99.9960	0.3500	1	6.15E-02
0	102.2990	100.2080	0.3500	1	2.55E-02
0	101.8860	100.6650	0.3500	1	6.16E-02
0	101.4770	100.9640	0.3500	1	5.07E-02
0	100.9940	101.2000	0.3500	1	5.38E-02
0	100.4860	101.3350	0.3500	1	5.26E-02
0	99.9810	101.3810	0.3500	1	5.07E-02
0	95.8520	101.1110	0.3500	1	4.14E-01
0	95.1460	101.0730	0.3500	1	7.07E-02
0	95.0950	101.0280	0.3500	1	6.80E-03
0	95.0940	100.4800	0.3500	1	5.48E-02
0	95.8730	100.4870	0.3500	1	7.79E-02
0	96.1250	100.3590	0.3500	1	2.83E-02
0	96.1850	100.1750	0.3500	1	1.94E-02
0	96.1850	99.8250	0.3500	1	3.50E-02
0	96.1260	99.6440	0.3500	1	1.90E-02
0	100.8430	98.9470	0.3500	1	3.67E-02
0	101.7470	99.8510	0.3500	1	1.28E-01
0	101.8720	100.0010	0.3500	1	1.95E-02
0	101.5240	100.3640	0.3500	1	5.03E-02
0	101.4240	100.4330	0.3500	1	1.21E-02
0	100.0880	99.0970	0.3500	1	1.89E-01
0	99.2360	99.1490	0.3500	1	8.54E-02
0	100.8430	100.7560	0.3500	1	2.27E-01
0	100.6150	100.8320	0.3500	1	2.40E-02
0	100.3110	100.8910	0.3500	1	3.10E-02
0	100.0870	100.9050	0.3500	1	2.24E-02
0	98.3840	99.2020	0.3500	1	2.41E-01
0	97.5310	99.2550	0.3500	1	8.55E-02
0	99.1320	100.8550	0.3500	1	2.26E-01
0	98.1630	100.7910	0.3500	1	9.71E-02
0	96.6790	99.3070	0.3500	1	2.10E-01
0	96.4970	99.3190	0.3500	1	1.82E-02
0	96.6540	99.8000	0.3500	1	5.06E-02
0	96.6540	100.1870	0.3500	1	3.87E-02
0	97.4950	101.0280	0.3500	1	1.19E-01
0	97.4950	101.0280	0.4000	1	3.85E-04
0	95.9830	99.6560	0.4000	1	1.57E-02
0	95.8410	99.5830	0.4000	1	1.25E-02
0	94.8830	99.5830	0.4000	1	7.49E-02
0	94.9040	98.7730	0.4000	1	6.34E-02
0	95.0260	98.7070	0.4000	1	1.09E-02
0	100.0630	98.3480	0.4000	1	3.95E-01
0	100.7610	98.4450	0.4000	1	5.51E-02
0	101.2750	98.6080	0.4000	1	4.22E-02
0	101.7430	98.8590	0.4000	1	4.15E-02
0	102.1560	99.1670	0.4000	1	4.03E-02
0	102.5570	99.5840	0.4000	1	4.53E-02
0	102.8260	100.0100	0.4000	1	3.94E-02
0	102.5560	100.4210	0.4000	1	3.85E-02
0	102.1660	100.8310	0.4000	1	4.43E-02
0	101.7120	101.1670	0.4000	1	4.42E-02
0	101.1940	101.4170	0.4000	1	4.50E-02
0	100.5380	101.5990	0.4000	1	5.33E-02
0	100.0030	101.6500	0.4000	1	4.20E-02
0	95.8070	101.3490	0.4000	1	3.29E-01
0	94.9430	101.2670	0.4000	1	6.79E-02
0	94.8830	101.1480	0.4000	1	1.04E-02
0	94.8830	100.4170	0.4000	1	5.72E-02
0	95.8400	100.4170	0.4000	1	7.49E-02
0	96.0180	100.3270	0.4000	1	1.56E-02
0	96.0600	100.1970	0.4000	1	1.07E-02
0	96.0600	99.8030	0.4000	1	3.08E-02
0	96.0250	99.6930	0.4000	1	9.03E-03
0	99.2790	98.7340	0.4000	1	2.61E-02
0	96.3020	98.9460	0.4000	1	2.33E-01
0	96.0520	98.9430	0.4000	1	1.96E-02
0	95.8020	98.9400	0.4000	1	1.96E-02
0	95.1640	98.9770	0.4000	1	5.00E-02
0	95.1630	99.3040	0.4000	1	2.56E-02
0	95.8140	99.2950	0.4000	1	5.09E-02
0	95.9030	99.2980	0.4000	1	6.97E-03
0	96.2050	99.4260	0.4000	1	2.57E-02
